COD OFICINA,NOMBRE  OFICINA,PLAZA ACTUAL,NUEVA PLAZA TP CANJE
0013,GALAN               ,168,0100
0070,PQUE BOL SANTA MARTA,564,0100
0074,AV LAS PE ITAS      ,592,0100
0076,CTRO CCIAL CTRO NORT,616,0100
0087,CALLE 72            ,707,0100
0088,CC VIVA WAJIRA      ,530,0100
0091,LOPERENA VALLEDUPAR ,628,0100
0096,DISTRITO 90         ,707,0100
0097,CTRO CCIAL MALL PLAZ,204,0100
0098,CTR CIVICO BARRANQUI,707,0100
0099,ARIARI GRANADA      ,350,0100
0101,CENTRO NELMAR       ,707,0100
0104,ABEJORRAL           ,104,0100
0105,VERSALLES           ,706,0100
0108,ACACIAS             ,351,0100
0109,INEM CALI           ,706,0100
0110,PUBENZA FLORIDA     ,706,0100
0111,SANTANDER DE QUILICH,706,0100
0113,CTR CIAL BUGA PLAZA ,188,0100
0114,CENTRAL DE ABASTOS  ,701,0100
0116,AGUACHICA           ,116,0100
0117,CTRO SERV PYME BMANG,713,0100
0118,AVENIDA COLOMBIA    ,701,0100
0119,CTR PLAZA CAICEDO   ,706,0100
0120,AGUAZUL             ,120,0100
0121,PASTO PLAZA         ,466,0100
0125,OF EDF BCO BTA BQUIL,707,0100
0126,EL TREN CALI        ,706,0100
0128,CC NUESTRO URABA    ,128,0100
0133,CTRO CIAL SAN FERNAN,701,0100
0134,CC LA ESTACION CALI ,706,0100
0136,OFICINA BARBOSA     ,136,0100
0137,ARAUCA              ,137,0100
0138,ARMENIA             ,138,0100
0140,LERIDA              ,140,0100
0141,BCO DE BTA PINARES  ,715,0100
0142,CTRO CIAL JARDIN PLZ,706,0100
0144,CARRERA SETENTA     ,701,0100
0146,PQ VERSALLES CALI   ,706,0100
0148,CERROMATOSO         ,436,0100
0151,CENTRO NELMAR       ,707,0100
0153,AVENIDA DE GREIFF   ,701,0100
0154,S.ANTONIODELPRADO   ,701,0100
0155,ORIENTE RIONEGRO    ,701,0100
0156,PLAZA ARRAYANES     ,701,0100
0157,SOTOMAYOR           ,713,0100
0158,CENTRO COM.DEL NORTE,706,0100
0159,CENTRO EMPRESA      ,706,0100
0162,AVENIDA LIBERTADOR  ,713,0100
0164,CTRO CCIAL CALIMA   ,706,0100
0166,PARQUE SAN NICOLAS  ,706,0100
0167,OFIC REC Y PAGO BLLO,701,0100
0168,BARRANCABERMEJA     ,168,0100
0170,BARRANQUILLA        ,707,0100
0172,OFIC CC PUNTO CLAVE ,701,0100
0173,BOULEVARD 54        ,707,0100
0175,BARRIO LAS LUNAS    ,466,0100
0178,BELLO               ,701,0100
0180,CALI                ,706,0100
0181,PUERTO TEJADA       ,706,0100
0182,EDF BCO DE BTA BOCAG,204,0100
0183,BOSCONIA            ,183,0100
0184,BUCARAMANGA         ,713,0100
0186,VISTAMAR BUENAVENTUR,186,0100
0187,BUENAVISTA          ,707,0100
0188,BUGA                ,188,0100
0190,CALARCA             ,138,0100
0195,OF PREMIUM RUITOQUE ,713,0100
0196,LA PAZ              ,707,0100
0198,UNICENTRO VILLAVICEN,351,0100
0200,BASE MIL.SAN JOSE GU,517,0100
0201,GRAN PLAZA FLORENCIA,312,0100
0202,DONCELLO            ,202,0100
0203,CANAVERAL           ,713,0100
0204,CARTAGENA           ,204,0100
0206,CARTAGO             ,206,0100
0207,CAVASA              ,706,0100
0209,OFIC REC Y PAGO UCAL,706,0100
0210,CENTRAL DE TRASNP.(C,260,0100
0213,NATAGAIMA           ,213,0100
0214,CENTRO COM.SAN DIEGO,701,0100
0216,CERETE              ,438,0100
0217,CENTRO COMERC OVIEDO,701,0100
0218,CTRO CIAL CABLE PLAZ,428,0100
0219,OFIC REC Y PAGO VCEN,351,0100
0220,CIENAGA             ,220,0100
0221,CTRO CIAL BUENAVISTA,564,0100
0224,CODAZZI             ,224,0100
0225,BOULEVARD MAYORCA   ,701,0100
0226,CENTRO CCIAL UNICO  ,706,0100
0230,CTR CIAL LLANOGRANDE,706,0100
0232,COPACABANA          ,701,0100
0235,CTRO CIAL OCEAN MALL,564,0100
0236,CTR CIAL LOS MOLINOS,701,0100
0238,CTRO CIAL PLAZA RIO ,128,0100
0240,COROZAL             ,240,0100
0242,OFIC REC Y PAGO S MT,564,0100
0243,OFIC REC Y PAGO MED ,701,0100
0244,CTRO CIAL SAN PEDRO ,442,0100
0247,OFIC REC Y PAGO CALI,706,0100
0248,OFIC REC Y PAGO MANI,428,0100
0249,COSMOCENTRO         ,706,0100
0250,CARRERA BOLIVAR     ,701,0100
0251,OFIC REC Y PAGO PERE,715,0100
0253,OFICINA GUARIN      ,713,0100
0254,CARRERA OCTAVA      ,706,0100
0255,CALLE CUARENTA      ,370,0100
0256,BULEVAR DEL RIO CALI,706,0100
0259,OFI SABANA DE TORRES,259,0100
0260,CUCUTA              ,260,0100
0263,MELGAR              ,263,0100
0266,CHINCHINA           ,428,0100
0267,LA CEJA             ,701,0100
0268,CHIQUINQUIRA        ,268,0100
0269,LIBANO              ,269,0100
0273,MIRANDA             ,706,0100
0276,AVENIDA ROOSVELT    ,706,0100
0277,CUBA                ,715,0100
0278,CC NUESTRO CARTAGO  ,206,0100
0279,DOSQUEBRADAS        ,715,0100
0281,MALL PLAZA MANIZALEZ,428,0100
0282,DUITAMA             ,282,0100
0283,SAN FRANCISCO       ,713,0100
0284,EL BANCO            ,284,0100
0285,EL CARMEN DE VIBORAL,701,0100
0286,EL CARMEN           ,286,0100
0287,EL CERRITO          ,706,0100
0288,CC UNICENTRO VALLEDU,628,0100
0289,CANDELARIA          ,706,0100
0290,AV.30 DE AGOSTO     ,715,0100
0292,EL PRADO            ,707,0100
0293,CTR CIAL PARQ ALEGRA,707,0100
0294,ENVIGADO            ,701,0100
0295,DAGUA               ,706,0100
0296,ESPINAL             ,296,0100
0301,LA TRIADA           ,713,0100
0303,CUCUTA AV QUINTA    ,260,0100
0305,LA ISLA             ,713,0100
0308,FLANDES             ,348,0100
0309,LA ESTACION CTR CIAL,370,0100
0310,BARANOA             ,707,0100
0311,SAN GIL             ,311,0100
0312,FLORENCIA           ,312,0100
0313,CTRO CIAL FUNDADORES,428,0100
0314,FLORIDA             ,706,0100
0315,CC ALAMEDAS         ,438,0100
0318,FONSECA             ,318,0100
0319,FLORIDABLANCA       ,713,0100
0322,FRONTINO            ,322,0100
0323,PORTAL DEL NORTE    ,138,0100
0324,ANDES ANTIOQUIA     ,701,0100
0326,FUNDACION           ,326,0100
0332,BASE NAVAL CARTAGENA,204,0100
0333,SAN CRISTOBAL ANTIOQ,701,0100
0336,GARAGOA             ,336,0100
0338,GARZON              ,338,0100
0339,SOATA               ,339,0100
0340,OF PREM PEREIRA     ,715,0100
0341,PQ COMERCIAL GUACARI,592,0100
0344,OFICINA BARBOSA     ,701,0100
0346,GINEBRA             ,706,0100
0347,CALYPSO             ,706,0100
0348,GIRARDOT            ,348,0100
0349,GIRARDOTA           ,701,0100
0350,GRANADA             ,350,0100
0351,CTR VILLVICENCIO    ,351,0100
0352,GUACARI             ,706,0100
0353,MONTERREY           ,353,0100
0354,PARQ RIVEROS ACACIAS,351,0100
0357,AV CUARENTA         ,351,0100
0358,GUAMAL              ,351,0100
0360,GUATEQUE            ,360,0100
0361,RESTREPO META       ,351,0100
0362,GUAYAQUIL           ,701,0100
0363,MARIQUITA           ,363,0100
0364,LOS CENTAUROS       ,351,0100
0366,HONDA               ,366,0100
0370,IBAGUE              ,370,0100
0371,MANRIQUE            ,701,0100
