COD OFICINA,ACTUAL COD REGION COMERCIAL,NUEVO COD REGION COMERCIAL,ACTUAL COD ZONA COMERCIAL,NUEVO COD ZONA COMERCIAL,ACTUAL NOMBRE REGION COMERCIAL,NUEVO NOMBRE REGION COMERCIAL,ACTUAL NOMBRE ZONA COMERCIAL,NUEVO NOMBRE ZONA COMERCIAL,Actual Nombre oficina,NUEVO NOMBRE OFICINA,NOMBRE GERENCIA/AREA,NOMBRE DISTRITO ACTUAL,NOMBRE NUEVO DISTRITO
0001,42,42,013,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 13,GZ DISTRITOS BTA 2,OFICINA PRINCIPAL   ,No Aplica,,Gcia. Distrito Bogotá 13,Distrito BTA 10
0002,42,42,026,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 26,GZ DISTRITOS BTA 3,ISS - CANN          ,No Aplica,,Gcia. Distrito Bogotá 26,Distrito BTA 22
0005,42,42,002,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 2 ,GZ DISTRITOS BTA 1,S U B A             ,No Aplica,,Gcia. Distrito Bogotá 2,Distrito BTA 3
0006,42,42,001,,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 1 ,GZ DISTRITOS BTA 1,CEDRITOS            ,No Aplica,,Gcia. Distrito Bogotá 1,Distrito BTA 2
0007,42,42,003,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 3 ,GZ DISTRITOS BTA 1,ANTIGUO COUNTRY     ,No Aplica,,Gcia. Distrito Bogotá 3,Distrito BTA 7
0008,42,42,003,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 3 ,GZ DISTRITOS BTA 1,EL CHICO            ,No Aplica,,Gcia. Distrito Bogotá 3,Distrito BTA 7
0011,08,08,006,004,CENTRAL             ,DIRECCION CENTRAL, SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,BACATA FUNZA        ,No Aplica,,-,-
0012,42,42,010,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 10,GZ DISTRITOS BTA 1,PASADENA            ,No Aplica,,Gcia. Distrito Bogotá 10,Distrito BTA 4
0013,06,41,004,009,NORORIENTE          ,DIRECCION ORIENTE,MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,GALAN               ,No Aplica,,-,Distrito Barrancabermeja
0015,42,,011,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 11,GZ DISTRITOS BTA 2,MALL PLAZA NQS      ,No Aplica,,Gcia. Distrito Bogotá 11,Distrito BTA 12
0016,08,,006,004,CENTRAL             ,DIRECCION CENTRAL,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,COTA                ,No Aplica,,-,-
0019,42,,020,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 20,GZ DISTRITOS BTA 2,BARRIO RESTREPO     ,No Aplica,,Gcia. Distrito Bogotá 20,Distrito BTA 13
0022,42,,016,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 16,GZ DISTRITOS BTA 3,VENECIA             ,No Aplica,,Gcia. Distrito Bogotá 16,Distrito BTA 17
0023,42,,022,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 22,GZ DISTRITOS BTA 3,OF CC NUESTRO BTA,No Aplica,,Gcia. Distrito Bogotá 22,Distrito BTA 22
0024,42,,025,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 25,GZ DISTRITOS BTA 3,OF CC DIV PLZ ALAMOS,No Aplica,,Gcia. Distrito Bogotá 25,Distrito BTA 21
0025,42,,021,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 21,GZ DISTRITOS BTA 3,PLAZA D LAS AMERICAS,No Aplica,,Gcia. Distrito Bogotá 21,Distrito BTA 19
0026,42,,015,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 15,GZ DISTRITOS BTA 2,SANTUARIO 20 D JULIO,No Aplica,,Gcia. Distrito Bogotá 15,Distrito BTA 14
0030,42,,002,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 2 ,GZ DISTRITOS BTA 1,GAITANA             ,No Aplica,,Gcia. Distrito Bogotá 2,Distrito BTA 3
0033,42,,012,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 12,GZ DISTRITOS BTA 2,ANDES               ,No Aplica,,Gcia. Distrito Bogotá 12,Distrito BTA 11
0035,42,,011,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 11,GZ DISTRITOS BTA 2,AVENIDA 19          ,No Aplica,,Gcia. Distrito Bogotá 11,Distrito BTA 10
0036,42,,011,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 11,GZ DISTRITOS BTA 2,CARRERA 10 CALLE 17 ,No Aplica,,Gcia. Distrito Bogotá 11,Distrito BTA 11
0038,42,,009,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 9 ,GZ DISTRITOS BTA 1,AVENIDA CHILE       ,No Aplica,,Gcia. Distrito Bogotá 9,Distrito BTA 8
0039,42,,003,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 3 ,GZ DISTRITOS BTA 1,PARQUE EL VIRREY    ,No Aplica,,Gcia. Distrito Bogotá 3,Distrito BTA 7
0040,42,,008,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 8 ,GZ DISTRITOS BTA 2,CHAPINERO           ,No Aplica,,Gcia. Distrito Bogotá 8,Distrito BTA 9
0043,42,,008,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 08,GZ DISTRITOS BTA 2,UNIV. JAVERIANA     ,No Aplica,,Gcia. Distrito Bogotá 8,Distrito BTA 9
0045,42,,021,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 21,GZ DISTRITOS BTA 3,CENTRAL DE ABASTOS  ,No Aplica,,Gcia. Distrito Bogotá 21,Distrito BTA 19
0046,42,,026,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 26,GZ DISTRITOS BTA 3,CIUDAD SALITRE      ,No Aplica,,Gcia. Distrito Bogotá 26,Distrito BTA 22
0047,42,,004,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 4 ,GZ DISTRITOS BTA 1,UNICENTRO           ,No Aplica,,Gcia. Distrito Bogotá 4,Distrito BTA 6
0049,42,,009,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 9 ,GZ DISTRITOS BTA 1,OFICINA 7-72        ,No Aplica,,Gcia. Distrito Bogotá 9,Distrito BTA 8
0057,42,,014,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 14,GZ DISTRITOS BTA 2,RICAURTE            ,No Aplica,,Gcia. Distrito Bogotá 14,Distrito BTA 12
0059,08,,003,001,CENTRAL             ,DIRECCION CENTRAL,CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,MESITAS DEL COLEGIO ,No Aplica,,-,-
0062,42,,013,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 13,GZ DISTRITOS BTA 2,SAN DIEGO           ,No Aplica,,Gcia. Distrito Bogotá 13,Distrito BTA 10
0066,08,,006,004,CENTRAL             ,DIRECCION CENTRAL,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,PACHO               ,No Aplica,,-,-
0067,08,,006,004,CENTRAL             ,DIRECCION CENTRAL, SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,TABIO               ,No Aplica,,-,-
0073,42,,023,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 23,GZ DISTRITOS BTA 3,CC EL EDEN          ,No Aplica,,Gcia. Distrito Bogotá 23,Distrito BTA 20
0075,42,,008,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 8 ,GZ DISTRITOS BTA 2,GALERIAS            ,No Aplica,,Gcia. Distrito Bogotá 8,Distrito BTA 9
0078,42,,007,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 7 ,GZ DISTRITOS BTA 1,METROPOLIS          ,No Aplica,,Gcia. Distrito Bogotá 7,Distrito BTA 5
0079,42,,025,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 25,GZ DISTRITOS BTA 1,LA CLARITA          ,No Aplica,,Gcia. Distrito Bogotá 25,Distrito BTA 5
0081,42,,007,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 7 ,GZ DISTRITOS BTA 1,SIETE DE AGOSTO     ,No Aplica,,Gcia. Distrito Bogotá 7,Distrito BTA 8
0082,42,,007,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 7 ,GZ DISTRITOS BTA 3,AVDA. CALLE 68      ,No Aplica,,Gcia. Distrito Bogotá 7,Distrito BTA 21
0085,42,,006,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,CTRO CIAL SANTAFE   ,No Aplica,,Gcia. Distrito Bogotá 6,Distrito BTA 1
0086,42,,010,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 10,GZ DISTRITOS BTA 1,BULEVAR NIZA        ,No Aplica,,Gcia. Distrito Bogotá 10,Distrito BTA 4
