COD OFICINA,ACTUAL COD REGION COMERCIAL,NUEVO COD REGION COMERCIAL,ACTUAL COD ZONA COMERCIAL,NUEVO COD ZONA COMERCIAL,ACTUAL NOMBRE REGION COMERCIAL,NUEVO NOMBRE REGION COMERCIAL,ACTUAL NOMBRE ZONA COMERCIAL,NUEVO NOMBRE ZONA COMERCIAL,Actual Nombre oficina,NUEVO NOMBRE OFICINA,NOMBRE GERENCIA/AREA,NOMBRE DISTRITO ACTUAL,NOMBRE NUEVO DISTRITO,ID ZONA,ID ZONA PADRE ACTUAL,ID ZONA PADRE MOVIMIENTO,NOMBRE OFICINA,ID ZONA,NOMBRE ACTUAL ZONA,NOMBRE ZONA NUEVO,ACTUAL NOMBRE DISTRITO,NUEVO  NOMBRE DISTRITO,ID ZONA,NOMBRE DIRECCION ACTUAL,NOMBRE NUEVA DIRECCION 
0001,42,-,013,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 13,GZ DISTRITOS BTA 2,OFICINA PRINCIPAL   ,-,,Gcia. Distrito Bogotá 13,Distrito BTA 10,2749,2748,2733,OFICINA PRINCIPAL   ,2748,GCIA DISTRITO BTA 13,GZ DISTRITOS BTA 2,,Distrito BTA 10,,,
0002,42,-,026,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 26,GZ DISTRITOS BTA 3,ISS - CANN          ,-,,Gcia. Distrito Bogotá 26,Distrito BTA 22,2599,2580,2709,ISS - CANN          ,2573,GCIA DISTRITO BTA 26,GZ DISTRITOS BTA 3,,Distrito BTA 22,,,
0005,42,-,002,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 2 ,GZ DISTRITOS BTA 1,S U B A             ,-,,Gcia. Distrito Bogotá 2,Distrito BTA 3,2734,2517,2518,S U B A             ,2793,GCIA DISTRITO BTA 2 ,GZ DISTRITOS BTA 1,,Distrito BTA 3,,,
0006,42,-,001,-,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 1 ,GZ DISTRITOS BTA 1,CEDRITOS            ,-,,Gcia. Distrito Bogotá 1,Distrito BTA 2,2806,2516,2517,CEDRITOS            ,2793, GCIA DISTRITO BTA 1 ,GZ DISTRITOS BTA 1,,Distrito BTA 2,,,
0007,42,-,003,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 3 ,GZ DISTRITOS BTA 1,ANTIGUO COUNTRY     ,-,,Gcia. Distrito Bogotá 3,Distrito BTA 7,2823,2518,2794,ANTIGUO COUNTRY     ,2793, GCIA DISTRITO BTA 3 ,GZ DISTRITOS BTA 1,,Distrito BTA 7,,,
0008,42,-,003,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 3 ,GZ DISTRITOS BTA 1,EL CHICO            ,-,,Gcia. Distrito Bogotá 3,Distrito BTA 7,2821,2518,2794,EL CHICO            ,2793, GCIA DISTRITO BTA 3 ,GZ DISTRITOS BTA 1,,Distrito BTA 7,,,
0011,08,08,006,004,CENTRAL             ,DIRECCION CENTRAL, SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,BACATA FUNZA        ,-,,-,-,,,,BACATA FUNZA        ,, SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,,-,,,
0012,42,42,010,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 10,GZ DISTRITOS BTA 1,PASADENA            ,-,,Gcia. Distrito Bogotá 10,Distrito BTA 4,2730,2733,2519,PASADENA            ,2726, GCIA DISTRITO BTA 10,GZ DISTRITOS BTA 1,,Distrito BTA 4,,,
0013,06,41,004,009,NORORIENTE          ,DIRECCION ORIENTE,MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,GALAN               ,-,,-,Distrito Barrancabermeja,,,,GALAN               ,,MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,,Distrito Barrancabermeja,,,
0015,42,-,011,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 11,GZ DISTRITOS BTA 2,MALL PLAZA NQS      ,-,,Gcia. Distrito Bogotá 11,Distrito BTA 12,,,,MALL PLAZA NQS      ,, GCIA DISTRITO BTA 11,GZ DISTRITOS BTA 2,,Distrito BTA 12,,,
0016,08,-,006,004,CENTRAL             ,DIRECCION CENTRAL,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,COTA                ,-,,-,-,,,,COTA                ,,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,,-,,,
