COD OFICINA,COD REGION COMERCIAL,COD ZONA COMERCIAL,NOMBRE REGION COMERCIAL,NOMBRE ZONA COMERCIAL,NOMBRE OFICINA
0833,03,006,DIR SEG CORP - INST,GZ Ss No Fros-Corp,GER CORPORATIVO 833
0857,03,002,DIR SEG CORP - INST,GZ Cio y Manuf-Corp,GER CORPORATIVO 857
0858,01,004,DIR SEG EMPRESARIAL,GZ Btá 2A - Emp,GER EMPRESARIA 0858
0859,01,009,DIR SEG EMPRESARIAL,GZ Oriente - Emp,GER EMPRESARIAL 859
0860,03,005,DIR SEG CORP - INST,GZ Infr RecNat-Corp,GER CORPORATIVO 860
0882,01,009,DIR SEG EMPRESARIAL,GZ Oriente - Emp,GER EMPRESARIAL 882
0970,01,001,DIR SEG EMPRESARIAL,GZ Btá 3 - Emp,GER EMPRESARIAL 970
9063,43,002,PYME,DIR SEG PEQUEÑA,GZ Btá 2 - Peq
1034,01,004,DIR SEG EMPRESARIAL,GZ Btá 2A - Emp,GER EMPRESARIA 1034
1035,03,003,DIR SEG CORP - INST,GZ Const Inmob-Corp,GER CORPORATIV 1035
1042,43,009,DIR SEG PEQUEÑA,NORMALIZ,GCIA PEQ NORMALIZ
1043,17,009,DIR SEG MEDIANA,NORMALIZ,GER MED NORMALIZACI
1063,03,001,DIR SEG CORP - INST,GZ Agroind-Corp,GER CORPORATIV 1063
1082,01,002,DIR SEG EMPRESARIAL,GZ Antioquia - Emp,GER EMPRESARIA 1082
1083,03,003,DIR SEG CORP - INST,GZ Const Inmob-Corp,GER CORPORATIV 1083
1084,01,003,DIR SEG EMPRESARIAL,GZ Btá 1 - Emp,GER EMPRESARIA 1084
1086,01,009,DIR SEG EMPRESARIAL,GZ Oriente - Emp,GER EMPRESARIA 1086
1117,01,001,DIR SEG EMPRESARIAL,GZ Btá 3 - Emp,GER EMPRESARIA 1117
1153,17,002,DIR SEG MEDIANA,GZ Btá 4 - Med,GER PYME 1153
1154,17,001,DIR SEG MEDIANA,GZ Btá 3 - Med,GER PYME 1154
1155,43,002,DIR SEG PEQUEÑA,GZ Btá 2 - Peq,GER PYME 1155
1156,43,007,DIR SEG PEQUEÑA,GZ Semill Btá - Peq,GER PYME 1156
1157,01,003,DIR SEG EMPRESARIAL,GZ Btá 1 - Emp,GER EMPRESARIA 1157
1159,01,001,DIR SEG EMPRESARIAL,GZ Btá 3 - Emp,GER EMPRESARIA 1159
1160,17,002,DIR SEG MEDIANA,GZ Btá 4 - Med,GER PYME 1160
1161,17,002,DIR SEG MEDIANA,GZ Btá 4 - Med,GER PYME 1161
1162,01,003,DIR SEG EMPRESARIAL,GZ Btá 1 - Emp,GER EMPRESARIA 1192
1163,03,002,DIR SEG CORP - INST,GZ Cio y Manuf-Corp,GER CORPORATIV 1163
1164,17,002,DIR SEG MEDIANA,GZ Btá 4 - Med,GER PYME 1164
1165,17,002,DIR SEG MEDIANA,GZ Btá 4 - Med,GER PYME 1165
1166,01,005,DIR SEG EMPRESARIAL,GZ Btá 2B - Emp,GER EMPRESARIA 1166
1167,17,002,DIR SEG MEDIANA,GZ Btá 4 - Med,GER PYME 1167
1168,01,005,DIR SEG EMPRESARIAL,GZ Btá 2B - Emp,GER EMPRESARIA 1168
1169,01,003,DIR SEG EMPRESARIAL,GZ Btá 1 - Emp,GER EMPRESARIA 1169
1170,43,003,DIR SEG PEQUEÑA,GZ Btá Sabana - Peq,GER PYME 1170
1172,43,002,DIR SEG PEQUEÑA,GZ Btá 2 - Peq,GER PYME 1172
1173,17,001,DIR SEG MEDIANA,GZ Btá 3 - Med,GER PYME 1173
